"Nick", "Nick"
"Enter", "Entrar"
"Room", "Sala"
"tells", "fala para"
"All users", "Todos"
"Users online:", "Usuários online"
"reservedly", "reservadamente"
"left the room", "saiu da sala"
"entered the room", "entrou na sala"
"private message", "reservadamente"
"automatic scroll", "rolagem automática"
"You sure?", "Tem certeza?"
"Yes", "Sim"
"No", "Não"
"Hide message", "Esconder mensagem"
"The chosen username is already in use, choose another to enter.", "Esse nome de usuário já está sendo usado, escolha outro."
"Room capacity was exhausted! Choose another room to enter.", "A capacidade da sala foi atingida! Escolha outra sala para entrar."
"The room does not exists.", "A sala não existe."
"Error code", "Código de segurança errado."
"Send", "Enviar"
"Logout", "Sair"
